League	Team Name	Date Added	Team Type	&nbsp;	&nbsp;	&nbsp;	
Bembel Town Rollergirls	Bembel Town Rollergirls	04-25-11	League	&nbsp;	&nbsp;	&nbsp;	
Berlin Bombshells	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Big Easy Rollergirls	Big Easy All Stars	04-02-10	A Travel	&nbsp;	&nbsp;	&nbsp;	
Big Easy Rollergirls	Crescent Wenches	02-13-08	B Travel	&nbsp;	&nbsp;	&nbsp;	
Big Horn Brawlers	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Big Mouth Mickies	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Big Sky Bombshells	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Biloxi Roller Derby LLC.	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Birmingham Blitz Derby Dames	Brummie Bombshells	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Black Diamond Roller Derby	Black Diamond Roller Derby	5-30-2011	League	&nbsp;	&nbsp;	&nbsp;	
Black-N-Bluegrass Rollergirls	Black Thunder	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Black-N-Bluegrass Rollergirls	Blue Lightnin'	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Blackwater Rollers	Blackwater Rollers	5-27-2010	League	&nbsp;	&nbsp;	&nbsp;	
Blazin' Banditas Roller Derby	Blazin' Banditas	05-31-07	Travel	&nbsp;	&nbsp;	&nbsp;	
Bleeding Heartland RollerGirls	Flatliners	03-16-08	A Travel	&nbsp;	&nbsp;	&nbsp;	
Bleeding Heartland RollerGirls	Code Blue Assassins	04-02-10	B Travel	&nbsp;	&nbsp;	&nbsp;	
Bleeding Heartland RollerGirls	Slaughter Scouts	03-16-08	League	&nbsp;	&nbsp;	&nbsp;	
Bleeding Heartland RollerGirls	Farm Fatales	03-16-08	League	&nbsp;	&nbsp;	&nbsp;	
Blue Ridge Rollergirls	Blue Ridge All Stars	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Blue Ridge Rollergirls	French Broads	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Blues City Rollergirls	Blues City Rollergirls	4-2-2011	League	&nbsp;	&nbsp;	&nbsp;	
Boondock Brawlers	Big Mouth Mickies	10-15-08	League	&nbsp;	&nbsp;	&nbsp;	
BoomTown Brawlettes	BoomTown Brawlettes	9-4-2010	League	&nbsp;	&nbsp;	&nbsp;	
Boston Area Men's Roller Derby	Boston Manglers	6-24-2010	Mens	&nbsp;	&nbsp;	&nbsp;	
Boston Derby Dames	Boston Massacre	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Boston Derby Dames	Boston B Party	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Boston Derby Dames	Nutcrackers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Boston Derby Dames	Wicked Pissahs	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Boston Derby Dames	Cosmonaughties	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Bradentucky Bombers	Brandentucky BombSquad	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Bradentucky Bombers	Nuclear Bombshells	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Brandywine Roller Girls	Fallen Debutantes	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Brandywine Roller Girls	Spell Razors	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Brandywine Roller Girls	Brass Knuckle Betties	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Brewcity Bruisers	Beerleaders	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Brewcity Bruisers	Brewcity Bruisers All Stars	02-11-07	A Travel	&nbsp;	&nbsp;	&nbsp;	
Brewcity Bruisers	Brewcity Battlestars	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Brewcity Bruisers	Crazy 8s	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Brewcity Bruisers	Maiden Milwaukee	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Brewcity Bruisers	Rushin' Rollettes	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Brewcity Bruisers	Shevil Knevils	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Brisbane City Rollers	The Punk Blockers	05-06-09	Travel	&nbsp;	&nbsp;	&nbsp;	
Brisbane City Rollers	Black Heart Belles	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Broken Hill Roller Derby	The Broken Jills	6-14-2011	League	&nbsp;	&nbsp;	&nbsp;	
Broken Hill Roller Derby	The Daisy Cutter’s	6-14-2011	League	&nbsp;	&nbsp;	&nbsp;	
Bull Falls Roller Derby	Bull Falls Roller Derby	4-19-2010	Leauge	&nbsp;	&nbsp;	&nbsp;	
Burlington Bombers	B-Town Bombshells	8-4-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Burlington Bombers	Bomb Quads	8-4-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Burlington Skyway Roller Derby	Burlington Beauty Queens	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Burn City Rollers	Burn City Rollers	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Burning River Roller Girls	Burning River All-Stars	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Burning River Roller Girls	Haz-Mat Crew	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Burning River Roller Girls	Cleveland Steamers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Burning River Roller Girls	Hard Knockers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Burning River Roller Girls	Hellbombers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Burning River Roller Girls	Rolling Pinups	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
C.C. Maiden Texas Derby	C.C. Maiden Texas Derby	1-17-2011	League	&nbsp;	&nbsp;	&nbsp;	
Cal Skate Roller Derby	Cal Skate Roller Derby	3-17-2011	League	&nbsp;	&nbsp;	&nbsp;	
Calgary Roller Derby Association	Hellion Rebellion	7-31-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Calgary Roller Derby Association	Cut Throat Car Hops	08-16-07	League	&nbsp;	&nbsp;	&nbsp;	
Calgary Roller Derby Association	B-52 Bellas	08-16-07	League	&nbsp;	&nbsp;	&nbsp;	
Calgary Roller Derby Association	Thrashin' Lassies	08-16-07	League	&nbsp;	&nbsp;	&nbsp;	
Camel City Thrashers	Camel City Thrashers	08-20-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Canberra Roller Derby League	Vice City Rollers	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Canberra Roller Derby League	Surly Griffins	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Canberra Roller Derby League	Black 'n' Blue Belles	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Cape Fear Rollergirls	Cape Fear Rollergirls All Stars	8-3-2010	A Travel	&nbsp;	&nbsp;	&nbsp;	
Cape Fear Rollergirls	Black Harrts	8-3-2010	B Travel	&nbsp;	&nbsp;	&nbsp;	
Cape Fear Rollergirls	F-Bombs	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Cape Fear Rollergirls	Convixens	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Capital City Rollers	Femms of Fury	2-7-2011	League	&nbsp;	&nbsp;	&nbsp;	
Capital City Rollers	The Daisy Cutter’s	1-24-2011	League	&nbsp;	&nbsp;	&nbsp;	
Capital District Mens Roller Derby	Capital District Trauma Authority	2-12-2011	League	&nbsp;	&nbsp;	&nbsp;	
Carolina Rollergirls	All Stars	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Carolina Rollergirls	Bootleggers	07-11-08	League	&nbsp;	&nbsp;	&nbsp;	
Carolina Rollergirls	Debutante Brawlers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Carolina Rollergirls	Tai Chi-Tah	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Carolina Rollergirls	Trauma Queens	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Castle Bombers Roller Girls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Castle Rock 'n' Rollers	The Greatest Hits	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Castle Rock 'n' Rollers	Bootleg Brawlers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Castle Rock 'n' Rollers	Platinum Divas	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Cen-Tex Sirens	Cen-Tex Sirens	8-11-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Cedar Rapids Rollergirls	Bombshell Cartel	01-09-09	League	&nbsp;	&nbsp;	&nbsp;	
Cedar Rapids Rollergirls	Helldorado's	01-09-09	Travel	&nbsp;	&nbsp;	&nbsp;	
Central Arkansas Roller Derby	Rock-N-Renegades	01-17-07	Travel	&nbsp;	&nbsp;	&nbsp;	
Central Chaos	Raggedy Angst	06-05-11	Leage	&nbsp;	&nbsp;	&nbsp;	
Central City Rollergirls	Belles of Centrinians	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Central City Rollergirls	Slay Belles	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Central Coast Roller Derby	SK805	01-29-11	A Travel	&nbsp;	&nbsp;	&nbsp;	
Central Coast Roller Derby	SLO Slammers	01-29-11	B Travel	&nbsp;	&nbsp;	&nbsp;	
Central Coast Roller Derby	Rough Diamonds	06-07-11	League	&nbsp;	&nbsp;	&nbsp;	
Central Mass Roller Derby	Petticoat Punishers	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Central Mass Roller Derby	Mass Maelstrom	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Central Mass Roller Derby	Switchblade Sallies	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Central Mass Roller Derby	Panty Linebackers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Central New York Roller Derby	Utica Clubbers	01-21-08	League	&nbsp;	&nbsp;	&nbsp;	
Central New York Roller Derby	Blue Collar Betties	10-23-08	League	&nbsp;	&nbsp;	&nbsp;	
Central New York Roller Derby	CNY All Stars	12-10-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Central New York Roller Derby	The Rome Wreckers	12-10-10	League	&nbsp;	&nbsp;	&nbsp;	
Central New York Roller Derby	The Rust Belt Rollers	12-17-10	League	&nbsp;	&nbsp;	&nbsp;	
Central New York Roller Derby	The Moody Bruisers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Central Oklahoma Roller Derby Assoc.	Angels of NO Mercy	01-07-09	League	&nbsp;	&nbsp;	&nbsp;	
Charlotte Roller Girls	Charlotte Roller Girls All Stars	02-10-07	A Travel	&nbsp;	&nbsp;	&nbsp;	
Charlotte Roller Girls	Charlotte Roller Girls B-Dazzlers	02-11-09	B Travel	&nbsp;	&nbsp;	&nbsp;	
Charlotte Roller Girls	Cockpit Candies	02-11-09	League	&nbsp;	&nbsp;	&nbsp;	
Charlotte Roller Girls	Block'Em Sock'Em Rollers	02-11-09	League	&nbsp;	&nbsp;	&nbsp;	
Charlotte Roller Girls	Fraid Knots	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Charm City Roller Girls	Charm City All Stars	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Charm City Roller Girls	Female Trouble	01-16-07	Travel	&nbsp;	&nbsp;	&nbsp;	
Charm City Roller Girls	Junkyard Dolls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Charm City Roller Girls	Night Terrors	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Charm City Roller Girls	Speed Regime	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Chattanooga Roller Girls	Chattanooga Roller Girls	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Chautauqua County Roller Derby	Babes of Wrath	12-16-2010	League	&nbsp;	&nbsp;	&nbsp;	
Chemical Valley Roller Girls	Chemical Valley Roller Girls	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Cherry City Derby Girls	Thrill Kill Kittens	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Cherry City Derby Girls	Dolls of Anarchy	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Cherry City Derby Girls	Panty Raiders	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Cherry City Derby Girls	Rydell Belles	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Chicago Outfit	Syndicate	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Chicago Outfit	Shade Brigade	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Chicago Riots, The	The Chicago Riots	8-10-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Chi*Town Sirens Roller Derby	Chicago's Finest Roller Girls	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Chi*Town Sirens Roller Derby	Killopatras	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Chi*Town Sirens Roller Derby	Thunderdames	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Chi*Town Sirens Roller Derby	Ultraviolent	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Chi*Town Sirens Roller Derby	Wheelers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Chilli Padi Derby Grrrls	Chilli Padi Derby Grrrls	2-1-2011	League	&nbsp;	&nbsp;	&nbsp;	
Cincinnati Rollergirls	The Black Sheep	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Cincinnati Rollergirls	The Silent Lambs	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Circle City Socialites	The Green Machine	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Clarksville Roller Derby	Red River Sirens	1-27-2011	League	&nbsp;	&nbsp;	&nbsp;	
Classic City Rollergirls	Classic City Rollergirls	02-15-07	Travel	&nbsp;	&nbsp;	&nbsp;	
Clutch City Roller Derby	Dead Dollies	3-18-2011	Team	&nbsp;	&nbsp;	&nbsp;	
Clutch City Roller Derby	Jailhouse Jezebels	3-18-2011	Team	&nbsp;	&nbsp;	&nbsp;	
Columbia QuadSquad	Columbia QuadSquad All Stars	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Columbia QuadSquad	Columbia QuadSquad Miss B-Havers	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Columbia QuadSquad	Capitol City Vixens	10-15-2011	League	&nbsp;	&nbsp;	&nbsp;	
Columbia QuadSquad	Spawn of Skatin'	10-15-2011	League	&nbsp;	&nbsp;	&nbsp;	
Columbia Valley Rollergirls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
COMO Derby Dames	All Stars	07-20-10	A Travel	&nbsp;	&nbsp;	&nbsp;	
COMO Derby Dames	Wreckoning Crew	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
COMO Derby Dames	Daisy Duke'Ems	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
COMO Derby Dames	Yo Ho Ho's	&nbsp;	Leauge	&nbsp;	&nbsp;	&nbsp;	
COMO Derby Dames	Blarney Banshees	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
COMO Derby Dames	Die Die Darlings	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Comox Valley Rink Minx Rollergirls	Comox Valley Rink Minx Rollergirls	04-13-11	League	&nbsp;	&nbsp;	&nbsp;	
Coos County Rollergirls	Rockin' Roulettes	11-12-07	Travel	&nbsp;	&nbsp;	&nbsp;	
Cornwall Roller Derby	Foul Mouth Roller Girls	12-23-10	League	&nbsp;	&nbsp;	&nbsp;	
Cornwall Roller Derby	Apocalypse Kernow	12-23-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Copenhagen Roller Derby	Rollin Heartbreakers	07-16-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Copenhagen Roller Derby	Kick Ass Cuties	11-23-10	League	&nbsp;	&nbsp;	&nbsp;	
Coastal Plains Derby Dames	Rick Rolling Brigade	09-22-10	B Travel	&nbsp;	&nbsp;	&nbsp;	
Croydon Roller Derby	Fenris Flyers	08-20-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Crude City Roller Derby	3rd Coast Offenders	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
CT Death Quads	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
CT Rollergirls	Elm City BoneCrushers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
